episode,step,train_score,eval_score,best_score,epsilon,loss,q_avg_0,q_min_0,q_max_0,q_avg_1,q_min_1,q_max_1
126,1877,-5.0,-5.0,-4.0,             0.17750,0.056542336692412695,0.726,-1.041,1.625,0.727,-1.072,1.228
127,1892,-5.0,-5.0,-4.0,             0.17507,0.061562391991416616,0.619,-0.238,1.132,0.627,-0.117,1.25
128,1900,-5.0,-5.0,-4.0,             0.17378,0.05180450016632676,1.181,0.897,1.463,1.265,1.164,1.548
129,1915,-5.0,-5.0,-4.0,             0.17140,0.062012132133046786,0.776,-0.403,1.247,0.774,-0.502,1.103
130,1930,-5.0,-5.0,-4.0,             0.16904,0.06708644355336825,0.582,-1.187,0.926,0.574,-1.234,0.959
131,1945,-5.0,-5.0,-4.0,             0.16672,0.05369630145529906,0.514,-1.273,1.06,0.523,-1.36,0.992
132,1960,-5.0,-5.0,-4.0,             0.16444,0.052481316650907196,0.761,-0.592,1.691,0.866,-0.138,1.503
133,1975,-5.0,-5.0,-4.0,             0.16218,0.052863919734954835,0.772,-0.719,1.472,0.748,-0.511,1.25
134,1990,-5.0,-5.0,-4.0,             0.15996,0.05296317848066489,1.006,-0.635,1.472,1.0,-0.718,1.496
135,2000,-5.0,-5.0,-4.0,             0.15849,0.05066991522908211,1.164,0.879,1.405,1.22,0.832,1.422
136,2013,-5.0,-5.0,-4.0,             0.15660,0.05343761739249413,0.897,-0.568,1.457,0.93,-0.704,1.44
137,2028,-5.0,-5.0,-4.0,             0.15445,0.04761083697279294,0.631,-0.937,1.069,0.631,-1.079,1.054
138,2043,-5.0,-5.0,-4.0,             0.15234,0.0558852132409811,0.596,-0.702,0.914,0.581,-0.869,1.05
139,2058,-5.0,-5.0,-4.0,             0.15024,0.05303934141993523,0.698,-0.852,1.384,0.698,-0.396,1.183
140,2065,-5.0,-5.0,-4.0,             0.14928,0.04491038567253521,1.264,1.1,1.642,1.395,1.305,1.671
141,2080,-5.0,-5.0,-4.0,             0.14723,0.06900578935941061,0.984,-1.288,1.57,0.898,-1.44,1.489
142,2095,-5.0,-5.0,-4.0,             0.14521,0.08240805342793464,0.421,-0.537,0.683,0.39,-0.711,0.705
143,2110,-5.0,-5.0,-4.0,             0.14322,0.05264673841496308,0.585,-0.427,0.791,0.549,-0.399,0.856
144,2119,-5.0,-5.0,-4.0,             0.14204,0.059537559954656497,0.786,0.547,1.4,0.87,0.582,1.594
145,2134,-5.0,-5.0,-4.0,             0.14009,0.06389859492580095,1.108,-0.988,1.489,1.022,-1.131,1.465
146,2153,-4.0,-5.0,-4.0,             0.13766,0.06436252064610783,0.531,-0.649,1.022,0.492,-0.704,0.839
147,2168,-5.0,-5.0,-4.0,             0.13577,0.06392246534427007,0.728,-0.476,1.026,0.717,-0.543,0.99
148,2185,-4.0,-5.0,-4.0,             0.13366,0.05954983425052727,0.596,-0.527,0.846,0.584,-0.609,0.942
149,2200,-5.0,-5.0,-4.0,             0.13183,0.04299067718287309,0.759,-1.099,1.182,0.765,-1.161,1.273
150,2215,-5.0,-5.0,-4.0,             0.13002,0.04989421814680099,0.773,-0.734,1.517,0.77,-0.715,1.425
151,2239,-4.0,-5.0,-4.0,             0.12717,0.05829605017788708,0.628,-0.966,1.205,0.58,-1.045,1.064
152,2254,-5.0,-5.0,-4.0,             0.12543,0.05692850624521573,1.073,-0.832,1.561,1.009,-1.053,1.539
153,2269,-5.0,-5.0,-4.0,             0.12371,0.0301492248972257,0.703,-1.079,1.165,0.558,-1.156,1.113
154,2302,-3.0,-5.0,-4.0,             0.12001,0.052477850606947235,0.846,-0.412,1.527,0.831,-0.455,2.052
155,2310,-5.0,-5.0,-4.0,             0.11912,0.05448128329589963,1.28,1.05,1.439,1.387,1.27,1.491
156,2325,-5.0,-4.0,-4.0,             0.11749,0.043235332767168684,0.811,-1.008,1.498,0.772,-1.099,1.412
157,2333,-5.0,-4.0,-4.0,             0.11663,0.05420703487470746,1.177,0.837,1.39,1.265,0.942,1.427
158,2357,-4.0,-4.0,-4.0,             0.11408,0.05648041182818512,0.692,-1.082,1.386,0.625,-1.324,1.539
159,2372,-5.0,-4.0,-4.0,             0.11251,0.06078261435031891,0.769,-0.851,1.203,0.788,-0.741,1.299
160,2387,-5.0,-4.0,-4.0,             0.11097,0.05223049794634183,1.085,-0.37,1.611,1.028,-0.565,1.504
161,2402,-5.0,-5.0,-4.0,             0.10945,0.04587267972528934,0.664,-0.631,1.13,0.582,-0.666,1.066
